"cid","count","lat","lng","states","area(km2)","max_distnace_km","st_asgeojson"
6,"1065","40.7701402338197695","-86.7480110540600668","{IA,IL,IN,KY,MI,MO,OH,TN,WI}","709364.8071422393","1020.2507729426447","{""type"":""Polygon"",""coordinates"":[[[-85.190868827,35.620685972],[-85.742978922,35.699844491],[-86.425031376,35.860579123],[-89.571144976,37.30358194],[-90.772665815,37.925973114],[-91.170642401,38.195829614],[-91.449585554,38.693078127],[-91.173080162,40.80934797],[-90.106733303,46.48074586],[-89.30165846,46.865595361],[-88.443500848,47.238783173],[-84.350551184,46.498080874],[-82.652115684,43.842662631],[-82.429629625,42.98687104],[-82.433390417,42.955942806],[-82.479201914,42.785363647],[-82.881604797,41.287962046],[-83.427094959,39.547856936],[-83.945255796,38.077121254],[-84.515863673,36.504424885],[-85.190868827,35.620685972]]]}"
8,"990","32.0831507626990419","-97.2962513607060356","{AR,KS,LA,NM,OK,TX}","920627.7451565007","849.1902738951314","{""type"":""Polygon"",""coordinates"":[[[-97.510696549,25.917848064],[-98.858359166,26.376432105],[-104.827508642,31.049173256],[-104.41086139,32.848974782],[-103.23378959,34.420620961],[-101.970558165,35.864495561],[-100.926788287,37.056683076],[-100.017405482,37.786276253],[-95.639427338,37.040993678],[-94.879057299,36.872479475],[-94.45911011,36.408583288],[-94.034090874,33.461070019],[-93.862964514,31.333808731],[-93.766556793,30.099819527],[-93.923892557,29.909710213],[-97.510696549,25.917848064]]]}"
13,"900","41.5381766877089440","-73.7170186128021910","{CT,DE,MA,MD,ME,NH,NJ,NY,PA,RI,VT}","481859.7282281418","1060.1010654955526","{""type"":""Polygon"",""coordinates"":[[[-75.852554881,37.997557909],[-78.397592747,43.223247441],[-75.49988778,44.691590653],[-74.908740086,44.93623403],[-68.591868974,47.265582057],[-67.824388798,46.886537958],[-67.268015714,45.17758929],[-67.47585524,44.713969115],[-70.1008,41.2752],[-75.211333086,38.339525161],[-75.852554881,37.997557909]]]}"
19,"849","38.5066787802591820","-80.0226988946748834","{DC,KY,MD,NC,NY,OH,PA,SC,TN,VA,WV}","538780.9734351973","719.7739361900361","{""type"":""Polygon"",""coordinates"":[[[-78.66354577,33.865712235],[-79.752055402,34.160066151],[-83.444792568,35.434485493],[-84.556007063,35.888604862],[-84.551726413,35.934965091],[-83.751545309,38.422151045],[-82.976632127,40.815339897],[-82.710196917,41.445892256],[-79.032430724,43.154184019],[-78.708316957,43.288559947],[-77.950901304,42.122421081],[-76.972524999,40.209605],[-76.54677819,39.290678811],[-75.864072582,37.475428927],[-75.61764914,35.939836499],[-76.755041171,34.726209498],[-78.021590312,33.92966195],[-78.66354577,33.865712235]]]}"
12,"740","42.3035674909095123","-95.4466113289134895","{IA,IL,KS,MN,MO,ND,NE,SD,WI}","1038775.7465609459","1254.0311391591397","{""type"":""Polygon"",""coordinates"":[[[-94.369467921,36.866953957],[-98.729283513,37.644500187],[-99.903364399,38.083252739],[-100.469153806,38.480468071],[-101.671476777,44.039808763],[-102.380421892,48.311293849],[-102.084488198,48.674238353],[-100.449981264,48.829124808],[-99.615557842,48.862642408],[-95.760405621,48.839236136],[-93.431770339,48.594802018],[-90.341426786,47.756480645],[-90.441466465,45.930315355],[-90.607874937,44.557886709],[-91.399457202,39.936358882],[-91.450538432,39.710612139],[-91.937865458,38.847135248],[-92.181792524,38.565792362],[-92.628889333,38.134963509],[-94.369467921,36.866953957]]]}"
9,"712","30.7504094394986466","-82.5834806958721621","{AL,FL,GA,NC,SC,TN}","594847.6774413065","783.3523172515521","{""type"":""Polygon"",""coordinates"":[[[-81.767407002,24.564198604],[-86.635925294,30.455594141],[-86.494549112,31.295795325],[-86.285790053,32.36696933],[-85.629618896,35.04710628],[-84.981779456,35.529101344],[-84.464284626,35.600693844],[-82.244231202,34.920043972],[-81.629300789,34.712160133],[-78.820106779,33.758439434],[-80.139681562,25.813219094],[-80.522305079,25.006156544],[-81.094436333,24.710362489],[-81.767407002,24.564198604]]]}"
16,"701","32.8802196779914959","-90.4575846371583208","{AL,AR,FL,KY,LA,MO,MS,TN}","561646.7269798362","708.895627377003","{""type"":""Polygon"",""coordinates"":[[[-90.311359813,29.456890868],[-93.165683312,29.808078451],[-93.368674895,30.230253554],[-93.436424441,30.452520835],[-93.795548878,32.404709169],[-94.105867995,34.894553578],[-94.190464286,36.1624095],[-94.191356904,36.339906334],[-93.930746982,36.92700362],[-93.821125283,37.111391703],[-92.633946236,37.681277526],[-91.785982986,37.952489533],[-90.302931377,37.558874137],[-86.819231007,35.919115166],[-86.078401216,35.496879965],[-85.913861391,35.208063352],[-85.965982141,34.007736282],[-86.090783396,33.440276821],[-87.039433094,30.397776323],[-87.157054651,30.360481945],[-90.311359813,29.456890868]]]}"
14,"501","34.0443934347964649","-115.7377023935988024","{AZ,CA,NV,UT}","500789.78650429397","775.158009884806","{""type"":""Polygon"",""coordinates"":[[[-109.560682188,31.339594366],[-110.959747134,31.340286884],[-117.071712131,32.617494005],[-118.330705123,33.339204041],[-119.810296842,34.433823435],[-119.112450471,35.351504293],[-118.057911853,36.609100201],[-114.858604793,39.256727038],[-112.643858779,38.289149447],[-111.46358713,36.917647994],[-109.975385953,34.165232095],[-109.735157237,32.822754716],[-109.560682188,31.339594366]]]}"
18,"417","39.9679516425540127","-106.7487580037697842","{AZ,CO,ID,KS,MT,ND,NE,NM,OK,SD,TX,UT,WY}","1399067.8364728028","1449.5513816828","{""type"":""Polygon"",""coordinates"":[[[-106.208422185,31.681176614],[-106.499075548,31.769835867],[-107.767727706,32.260336112],[-108.26091772,32.797129976],[-109.285257957,34.131735035],[-110.426583661,35.802106044],[-112.340276972,38.954777445],[-112.561095825,39.350051767],[-112.848630661,42.78144858],[-111.516003312,46.321864919],[-110.672275718,47.820404468],[-109.685817755,48.538077306],[-105.418244,48.788246392],[-103.299034692,48.906692961],[-102.934507088,48.403001934],[-101.730725431,43.16975367],[-100.862954299,39.127100906],[-100.868387832,37.969866548],[-100.986562879,37.437092916],[-101.475994626,36.690972412],[-104.523267272,33.309289372],[-106.208422185,31.681176614]]]}"
17,"307","38.2626983210456547","-121.4087627501074919","{CA,NV,OR}","388837.65850619116","786.563372913638","{""type"":""Polygon"",""coordinates"":[[[-120.126303888,34.602082788],[-120.452188325,34.635371609],[-121.913128652,36.578901867],[-123.800880567,39.431233741],[-124.136405293,40.582624915],[-124.418524465,42.411319387],[-124.402058376,43.112425063],[-120.352111218,42.181294664],[-115.730631041,40.823443768],[-117.222490121,38.061643183],[-120.126303888,34.602082788]]]}"
