"cid","name","address","city","state","zip","latitude","longitude"
17,"CENTRAL VALLEY GENERAL HOSPITAL","1025 NORTH DOUTY STREET","HANFORD","CA",93230,"36.33615885000010","-119.6456672980000"
14,"LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS","150 VIA MERIDA","WESTLAKE VILAGE","CA",91362,"34.15493887200010","-118.8157363910000"
14,"EAST LOS ANGELES DOCTORS HOSPITAL","4060 WHITTIER BOULEVARD","LOS ANGELES","CA",90023,"34.02364730200000","-118.1841648050000"
14,"SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD","6245 DE LONGPRE AVENUE","HOLLYWOOD","CA",90028,"34.09639135700010","-118.3252348710000"
14,"KINDRED HOSPITAL BALDWIN PARK","14148 FRANCISQUITO AVENUE","BALDWIN PARK","CA",91706,"34.06303893200000","-117.9674377880000"
14,"LAKEWOOD REGIONAL MEDICAL CENTER","3700 EAST SOUTH STREET","LAKEWOOD","CA",90712,"33.85970662000010","-118.1484029650000"
14,"MONROVIA MEMORIAL HOSPITAL","323 SOUTH HELIOTROPE AVENUE","MONROVIA","CA",91016,"34.14875865900010","-117.9926676570000"
14,"MONTEREY PARK HOSPITAL","900 SOUTH ATLANTIC BOULEVARD","MONTEREY PARK","CA",91754,"34.04946605900010","-118.1382622310000"
14,"STAR VIEW ADOLESCENT - P H F","4025 WEST 226 STREET","TORRANCE","CA",90505,"33.82391446400000","-118.3560969470000"
14,"CORONA REGIONAL MEDICAL CENTER-MAGNOLIA","730 MAGNOLIA AVENUE","CORONA","CA",92879,"33.85808330700010","-117.5538580350000"
17,"MODOC MEDICAL CENTER","228 MC DOWELL STREET","ALTURAS","CA",96101,"41.48005625500010","-120.5457439870000"
17,"SALINAS VALLEY MEMORIAL HOSPITAL","450 EAST ROMIE LANE","SALINAS","CA",93901,"36.65903045600000","-121.6459838040000"
8,"CORPUS CHRISTI SPECIALTY HOSPITAL","1310 THIRD STREET","CORPUS CHRISTI","TX",78414,"27.77851016800000","-97.3962083130000"
14,"HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE","393 S. TUSTIN STREET","ORANGE","CA",92866,"33.78272717300010","-117.8338918650000"
14,"HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL","14851 YORBA STREET","TUSTIN","CA",92680,"33.74746074000010","-117.8310556310000"
14,"KINDRED HOSPITAL BREA","875 NORTH BREA BOULEVARD","BREA","CA",92621,"33.93449588600000","-117.8939487920000"
14,"KINDRED HOSPITAL WESTMINSTER","200 HOSPITAL CIRCLE","WESTMINSTER","CA",92683,"33.76353320900010","-117.9952559630000"
9,"ST JOSEPH'S HOSPITAL - SAVANNAH","11705 MERCY BOULEVARD","SAVANNAH","GA",31419,"31.98543032100000","-81.1545563690000"
17,"KAWEAH DELTA MENTAL HEALTH HOSPITAL D/P APH","1100 SO. AKERS STREET","VISALIA","CA",93277,"36.32084394600000","-119.3482345280000"
9,"CHARLTON MEMORIAL HOSPITAL","2449 THIRD STREET","FOLKSTON","GA",31537,"30.84527534800000","-82.0050573920000"
16,"DAUTERIVE HOSPITAL","600 N LEWIS AVE.","NEW IBERIA","LA",70563,"30.00690697700000","-91.7945238530000"
8,"CROCKETT MEDICAL CENTER","1100 EAST LOOP 304","CROCKETT","TX",77954,"31.32360364000000","-95.4388993059999"
16,"CENTRAL LOUISIANA STATE HOSPITAL","242 W SHAMROCK AVE","PINEVILLE","LA",71360,"31.32737894200010","-92.4401351129999"
16,"REEVES MEMORIAL MEDICAL CENTER","409 1ST ST","BERNICE","LA",71222,"32.82399167000010","-92.6566486810000"
16,"SERENITY SPRINGS SPECIALTY HOSPITAL","309 N MAIN ST","FARMERVILLE","LA",71241,"32.77612793400000","-92.4056258479999"
16,"RIVERBRIDGE SPECIALTY HOSPITAL","209 FRONT ST.","VIDALIA","LA",71373,"31.56117486300010","-91.4260669829999"
16,"CITIZENS MEDICAL CENTER","7939 HIGHWAY 165","COLUMBIA","LA",71418,"32.06003995100010","-92.0991376690000"
9,"BROWN MEMORIAL CONVALESCENT CENTER","545 COOK STREET","ROYSTON","GA",30662,"34.28325036500010","-83.1189723650000"
14,"COLLEGE MEDICAL CENTER","2776 PACIFIC AVENUE","LONG BEACH","CA",90806,"33.80709287000010","-118.1933899290000"
